Rank	Dataset	cut-off	confidence	sequence number	group number	min alignment length	fasta filename	classification filename
species	Ochrolechia	0.988	0.8318	64	17	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Coniothyrium	0.987	0.8721	67	15	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Phaeoacremonium	0.99	0.9297	88	21	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Dichostereum	0.906	0.9818	33	12	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Xanthoria	0.974	0.9589	207	12	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Hypoxylon	0.972	0.8418	493	97	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Trichaptum	0.97	0.9005	109	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Keratinophyton	0.983	0.882	37	15	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Xerocomus	0.984	0.8713	98	23	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Pyrenopeziza	0.969	0.8806	37	15	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Tylopilus	0.954	0.9445	124	36	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Efibula	0.977	0.9045	43	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Monilinia	0.989	0.9401	161	20	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Cladonia	0.988	0.8318	502	160	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Porpidia	0.951	0.8702	67	19	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Gnomoniopsis	0.989	0.9286	69	14	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Lactarius	0.99	0.841	1065	214	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Ophiocordyceps	0.985	0.8808	456	75	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Rhodocollybia	0.966	0.8882	117	21	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Sarcodon	0.975	0.9352	82	20	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Neocamarosporium	0.994	0.9088	65	13	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Mallocybe	0.984	0.8479	71	27	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Thaxterogaster	0.993	0.8625	271	66	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Neosetophoma	0.987	0.8721	60	19	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Paraconiothyrium	0.987	0.8721	156	14	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Candelariella	0.988	0.8318	139	31	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Chalara	0.984	0.9094	38	19	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Hyphodiscus	0.961	0.899	35	10	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Neocucurbitaria	0.987	0.8721	58	18	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Cladophialophora	0.982	0.9098	236	43	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Rinodina	0.988	0.8318	115	70	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Melampsora	0.983	0.8468	94	14	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Phlebia	0.984	0.916	336	27	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Paraphaeosphaeria	0.986	0.9339	96	13	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Zygosaccharomyces	0.965	0.9523	167	12	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Lecanicillium	0.986	0.916	187	12	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Parasola	0.981	0.8565	89	18	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Muyocopron	0.935	0.9487	34	13	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Collybia	0.981	0.8447	65	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Humicola	0.988	0.8931	69	18	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Sebacina	0.985	0.7924	76	10	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Sporobolomyces	0.988	0.9576	189	13	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Calogaya	0.988	0.8318	172	20	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Clavulinopsis	0.989	0.7985	88	26	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Amauroderma	0.989	0.9053	95	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Coccomyces	0.964	0.862	50	24	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Kretzschmaria	0.971	0.8748	47	14	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Leptogium	0.973	0.8424	144	27	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Lophiostoma	0.987	0.8721	95	39	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Phaeoisaria	0.987	0.9649	32	12	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Lepiota	0.989	0.8152	469	105	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Tulostoma	0.989	0.8971	129	42	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Chlorociboria	0.981	0.9291	61	19	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Polyporus	0.985	0.8751	250	36	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Ophiostoma	0.987	0.9083	190	43	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Physcia	0.988	0.8318	144	29	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Fuscopannaria	0.988	0.8553	37	14	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Bacidia	0.965	0.8943	90	41	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Pseudosperma	0.984	0.873	86	40	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Arthrobotrys	0.988	0.8318	188	30	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
